
[2024-01-19 11:21:56.278776] Epoch: 95 / 1000, Frames: 28800, Gov_Rewards: -695.610, House_Rewards: 87.640, years:1.000, actor_loss: 71817.848, critic_loss: 226926.385
[2024-01-19 11:22:06.308125] Epoch: 96 / 1000, Frames: 29100, Gov_Rewards: -698.954, House_Rewards: 87.563, years:1.000, actor_loss: 71557.808, critic_loss: 179907.163
[2024-01-19 11:22:16.101816] Epoch: 97 / 1000, Frames: 29400, Gov_Rewards: -693.802, House_Rewards: 87.923, years:1.000, actor_loss: 71426.199, critic_loss: 207948.359
[2024-01-19 11:22:25.784101] Epoch: 98 / 1000, Frames: 29700, Gov_Rewards: -693.215, House_Rewards: 87.986, years:1.000, actor_loss: 71210.055, critic_loss: 196439.410
[2024-01-19 11:22:35.844212] Epoch: 99 / 1000, Frames: 30000, Gov_Rewards: -693.463, House_Rewards: 87.788, years:1.000, actor_loss: 71113.751, critic_loss: 182657.839
[2024-01-19 11:22:45.906686] Epoch: 100 / 1000, Frames: 30300, Gov_Rewards: -691.960, House_Rewards: 87.620, years:1.000, actor_loss: 71062.174, critic_loss: 191531.869
[2024-01-19 11:22:55.880196] Epoch: 101 / 1000, Frames: 30600, Gov_Rewards: -688.124, House_Rewards: 87.909, years:1.000, actor_loss: 71054.728, critic_loss: 195748.906
[2024-01-19 11:23:05.676326] Epoch: 102 / 1000, Frames: 30900, Gov_Rewards: -685.051, House_Rewards: 87.531, years:1.000, actor_loss: 70790.057, critic_loss: 183461.702
[2024-01-19 11:23:15.297195] Epoch: 103 / 1000, Frames: 31200, Gov_Rewards: -688.015, House_Rewards: 87.762, years:1.000, actor_loss: 70214.572, critic_loss: 184914.556
[2024-01-19 11:23:25.244650] Epoch: 104 / 1000, Frames: 31500, Gov_Rewards: -681.710, House_Rewards: 87.710, years:1.000, actor_loss: 69971.523, critic_loss: 206371.157
[2024-01-19 11:23:34.670876] Epoch: 105 / 1000, Frames: 31800, Gov_Rewards: -688.325, House_Rewards: 87.741, years:1.000, actor_loss: 69764.671, critic_loss: 194573.413
[2024-01-19 11:23:44.068063] Epoch: 106 / 1000, Frames: 32100, Gov_Rewards: -690.920, House_Rewards: 87.568, years:1.000, actor_loss: 69699.513, critic_loss: 189491.031
[2024-01-19 11:23:54.043592] Epoch: 107 / 1000, Frames: 32400, Gov_Rewards: -690.099, House_Rewards: 87.839, years:1.000, actor_loss: 69372.877, critic_loss: 189568.166
[2024-01-19 11:24:03.708472] Epoch: 108 / 1000, Frames: 32700, Gov_Rewards: -685.064, House_Rewards: 88.185, years:1.000, actor_loss: 69217.654, critic_loss: 183956.100
[2024-01-19 11:24:13.021234] Epoch: 109 / 1000, Frames: 33000, Gov_Rewards: -687.656, House_Rewards: 88.059, years:1.000, actor_loss: 68913.457, critic_loss: 203051.054
[2024-01-19 11:24:22.961575] Epoch: 110 / 1000, Frames: 33300, Gov_Rewards: -686.823, House_Rewards: 88.237, years:1.000, actor_loss: 68817.448, critic_loss: 178976.218
[2024-01-19 11:24:32.312654] Epoch: 111 / 1000, Frames: 33600, Gov_Rewards: -685.247, House_Rewards: 88.015, years:1.000, actor_loss: 68504.947, critic_loss: 193424.587
[2024-01-19 11:24:42.270046] Epoch: 112 / 1000, Frames: 33900, Gov_Rewards: -690.686, House_Rewards: 88.174, years:1.000, actor_loss: 68412.994, critic_loss: 178527.866
[2024-01-19 11:24:52.170424] Epoch: 113 / 1000, Frames: 34200, Gov_Rewards: -688.460, House_Rewards: 87.979, years:1.000, actor_loss: 68305.381, critic_loss: 203067.486
[2024-01-19 11:25:00.121689] Epoch: 114 / 1000, Frames: 34500, Gov_Rewards: -684.361, House_Rewards: 88.775, years:1.000, actor_loss: 67984.859, critic_loss: 181752.873
[2024-01-19 11:25:06.884379] Epoch: 115 / 1000, Frames: 34800, Gov_Rewards: -693.391, House_Rewards: 88.786, years:1.000, actor_loss: 67746.367, critic_loss: 184880.263
[2024-01-19 11:25:13.061895] Epoch: 116 / 1000, Frames: 35100, Gov_Rewards: -688.897, House_Rewards: 87.909, years:1.000, actor_loss: 67637.860, critic_loss: 184355.698
[2024-01-19 11:25:19.522342] Epoch: 117 / 1000, Frames: 35400, Gov_Rewards: -690.957, House_Rewards: 88.205, years:1.000, actor_loss: 67328.442, critic_loss: 182679.758
[2024-01-19 11:25:26.418818] Epoch: 118 / 1000, Frames: 35700, Gov_Rewards: -771.664, House_Rewards: 84.722, years:1.000, actor_loss: 67079.426, critic_loss: 195212.650
[2024-01-19 11:25:33.234016] Epoch: 119 / 1000, Frames: 36000, Gov_Rewards: -762.777, House_Rewards: 84.525, years:1.000, actor_loss: 67119.852, critic_loss: 170422.793
[2024-01-19 11:25:39.507294] Epoch: 120 / 1000, Frames: 36300, Gov_Rewards: -758.771, House_Rewards: 85.168, years:1.000, actor_loss: 67187.772, critic_loss: 167958.353
[2024-01-19 11:25:45.902888] Epoch: 121 / 1000, Frames: 36600, Gov_Rewards: -761.117, House_Rewards: 85.069, years:1.000, actor_loss: 67224.868, critic_loss: 169414.599
[2024-01-19 11:25:52.866720] Epoch: 122 / 1000, Frames: 36900, Gov_Rewards: -753.694, House_Rewards: 85.026, years:1.000, actor_loss: 67379.978, critic_loss: 165139.315
[2024-01-19 11:25:59.340343] Epoch: 123 / 1000, Frames: 37200, Gov_Rewards: -753.678, House_Rewards: 85.049, years:1.000, actor_loss: 67310.925, critic_loss: 156868.142
[2024-01-19 11:26:05.547527] Epoch: 124 / 1000, Frames: 37500, Gov_Rewards: -764.369, House_Rewards: 85.183, years:1.000, actor_loss: 67475.415, critic_loss: 140901.515
[2024-01-19 11:26:12.413594] Epoch: 125 / 1000, Frames: 37800, Gov_Rewards: -755.627, House_Rewards: 85.142, years:1.000, actor_loss: 67567.839, critic_loss: 156828.841
[2024-01-19 11:26:19.371333] Epoch: 126 / 1000, Frames: 38100, Gov_Rewards: -746.973, House_Rewards: 85.219, years:1.000, actor_loss: 67615.446, critic_loss: 153056.338
[2024-01-19 11:26:25.501464] Epoch: 127 / 1000, Frames: 38400, Gov_Rewards: -754.617, House_Rewards: 85.176, years:1.000, actor_loss: 67665.892, critic_loss: 136431.089
[2024-01-19 11:26:31.783916] Epoch: 128 / 1000, Frames: 38700, Gov_Rewards: -751.337, House_Rewards: 85.267, years:1.000, actor_loss: 67651.100, critic_loss: 135009.721
[2024-01-19 11:26:38.778311] Epoch: 129 / 1000, Frames: 39000, Gov_Rewards: -764.086, House_Rewards: 85.161, years:1.000, actor_loss: 67471.118, critic_loss: 145610.475
[2024-01-19 11:26:45.151134] Epoch: 130 / 1000, Frames: 39300, Gov_Rewards: -764.202, House_Rewards: 85.036, years:1.000, actor_loss: 67796.421, critic_loss: 139548.834
[2024-01-19 11:26:51.397036] Epoch: 131 / 1000, Frames: 39600, Gov_Rewards: -760.440, House_Rewards: 85.015, years:1.000, actor_loss: 67839.730, critic_loss: 146393.082
[2024-01-19 11:26:58.219157] Epoch: 132 / 1000, Frames: 39900, Gov_Rewards: -760.263, House_Rewards: 85.027, years:1.000, actor_loss: 67708.190, critic_loss: 146964.879
[2024-01-19 11:27:04.958743] Epoch: 133 / 1000, Frames: 40200, Gov_Rewards: -762.761, House_Rewards: 84.988, years:1.000, actor_loss: 67981.492, critic_loss: 125594.220
[2024-01-19 11:27:11.167594] Epoch: 134 / 1000, Frames: 40500, Gov_Rewards: -762.427, House_Rewards: 85.174, years:1.000, actor_loss: 67909.455, critic_loss: 142707.829
[2024-01-19 11:27:18.865973] Epoch: 135 / 1000, Frames: 40800, Gov_Rewards: -763.671, House_Rewards: 84.995, years:1.000, actor_loss: 67962.801, critic_loss: 131812.775
[2024-01-19 11:27:28.690574] Epoch: 136 / 1000, Frames: 41100, Gov_Rewards: -762.938, House_Rewards: 84.909, years:1.000, actor_loss: 68132.718, critic_loss: 130961.591
[2024-01-19 11:27:38.559145] Epoch: 137 / 1000, Frames: 41400, Gov_Rewards: -763.960, House_Rewards: 85.112, years:1.000, actor_loss: 68044.304, critic_loss: 138276.744
[2024-01-19 11:27:48.438827] Epoch: 138 / 1000, Frames: 41700, Gov_Rewards: -765.064, House_Rewards: 84.966, years:1.000, actor_loss: 68249.621, critic_loss: 121782.499
[2024-01-19 11:27:58.445731] Epoch: 139 / 1000, Frames: 42000, Gov_Rewards: -763.153, House_Rewards: 85.137, years:1.000, actor_loss: 68186.824, critic_loss: 124701.688
[2024-01-19 11:28:08.438194] Epoch: 140 / 1000, Frames: 42300, Gov_Rewards: -760.556, House_Rewards: 85.035, years:1.000, actor_loss: 68270.008, critic_loss: 124327.535
[2024-01-19 11:28:18.405851] Epoch: 141 / 1000, Frames: 42600, Gov_Rewards: -760.732, House_Rewards: 85.177, years:1.000, actor_loss: 68287.379, critic_loss: 116425.660
[2024-01-19 11:28:28.255571] Epoch: 142 / 1000, Frames: 42900, Gov_Rewards: -761.731, House_Rewards: 85.139, years:1.000, actor_loss: 68306.033, critic_loss: 127525.568
[2024-01-19 11:28:38.024560] Epoch: 143 / 1000, Frames: 43200, Gov_Rewards: -756.816, House_Rewards: 85.099, years:1.000, actor_loss: 68368.872, critic_loss: 118220.614
[2024-01-19 11:28:48.079105] Epoch: 144 / 1000, Frames: 43500, Gov_Rewards: -754.512, House_Rewards: 85.222, years:1.000, actor_loss: 68556.352, critic_loss: 121323.724
[2024-01-19 11:28:57.781712] Epoch: 145 / 1000, Frames: 43800, Gov_Rewards: -757.859, House_Rewards: 85.119, years:1.000, actor_loss: 68299.645, critic_loss: 114347.102
[2024-01-19 11:29:07.569802] Epoch: 146 / 1000, Frames: 44100, Gov_Rewards: -757.848, House_Rewards: 85.095, years:1.000, actor_loss: 68489.957, critic_loss: 101777.251
[2024-01-19 11:29:17.159743] Epoch: 147 / 1000, Frames: 44400, Gov_Rewards: -759.204, House_Rewards: 85.017, years:1.000, actor_loss: 68552.886, critic_loss: 110353.027
